year,y.pct.chg,unemp.chg
1948,4.1,-0.1
1949,-0.5,2.1
1950,8.7,-0.6
1951,8.1,-2
1952,4.1,-0.3
1953,4.7,-0.1
1954,-0.6,2.6
1955,7.1,-1.1
1956,2.1,-0.3
1957,2.1,0.2
1958,-0.7,2.5
1959,6.9,-1.3
1960,2.6,0
1961,2.6,1.2
1962,6.1,-1.2
1963,4.4,0.2
1964,5.8,-0.5
1965,6.5,-0.7
1966,6.6,-0.7
1967,2.7,0
1968,4.9,-0.2
1969,3.1,-0.1
1970,0.2,1.4
1971,3.3,1
1972,5.2,-0.3
1973,5.6,-0.7
1974,-0.5,0.7
1975,-0.2,2.9
1976,5.4,-0.8
1977,4.6,-0.6
1978,5.6,-1
1979,3.2,-0.3
1980,-0.2,1.3
1981,2.6,0.5
1982,-1.9,2.1
1983,4.6,-0.1
1984,7.3,-2.1
1985,4.2,-0.3
1986,3.5,-0.2
1987,3.5,-0.8
1988,4.2,-0.7
1989,3.7,-0.2
1990,1.9,0.3
1991,-0.1,1.2
1992,3.6,0.7
1993,2.7,-0.6
1994,4.0,-0.8
1995,2.7,-0.5
1996,3.8,-0.2
1997,4.5,-0.5
1998,4.5,-0.4
1999,4.7,-0.3
2000,4.1,-0.2
2001,1.0,0.7
2002,1.8,1.1
2003,2.8,0.2
2004,3.8,-0.5
2005,3.3,-0.4
2006,2.7,-0.5
2007,1.8,0
2008,-0.3,1.2
2009,-2.8,3.5
2010,2.5,0.3
2011,1.6,-0.7
2012,2.2,-0.8
2013,1.5,-0.7
2014,2.4,-1.2
2015,2.4,-0.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
 ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
